Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,
skincare,SKU16,7.55,74,280,"6,453.80",Female,2,5,78,1,Carrier B,4,Supplier 1,Bangalore,3,399,21,77,Pass,1.0,Air,Route A,865.5,
cosmetics,SKU17,81.46,82,126,"2,629.40",Female,45,17,85,9,Carrier C,4,Supplier 1,Chennai,7,453,16,48,Fail,0.1,Air,Route C,670.9,
haircare,SKU18,36.44,23,620,"9,364.67",Unknown,10,10,46,8,Carrier C,4,Supplier 2,Kolkata,18,374,17,27,Pending,2.2,Sea,Route A,593.5,
skincare,SKU19,51.12,100,187,"2,553.50",Unknown,48,11,94,3,Carrier A,5,Supplier 4,Chennai,20,694,16,82,Fail,3.6,Road,Route C,477.3,
skincare,SKU20,96.34,22,320,"8,128.03",Unknown,27,12,68,6,Carrier A,9,Supplier 1,Chennai,29,309,6,66,Pass,4.2,Air,Route B,493.9,
cosmetics,SKU21,84.89,60,601,"7,087.05",Unknown,69,25,7,6,Carrier B,6,Supplier 5,Chennai,19,791,4,62,Pending,0.0,Air,Route C,523.4,
haircare,SKU22,27.68,55,884,"2,390.81",Unknown,71,1,63,10,Carrier A,10,Supplier 4,Kolkata,22,780,28,50,Fail,2.6,Rail,Route C,205.6,
cosmetics,SKU23,4.32,30,391,"8,858.37",Unknown,84,5,29,7,Carrier A,3,Supplier 5,Kolkata,11,568,29,99,Pending,1.3,Rail,Route A,196.3,
haircare,SKU24,4.16,32,209,"9,049.08",Male,4,26,2,8,Carrier C,10,Supplier 2,Bangalore,28,447,3,40,Pending,3.7,Air,Route A,758.7,
haircare,SKU25,39.63,73,142,"2,174.78",Male,82,11,52,3,Carrier C,2,Supplier 4,Kolkata,19,934,23,78,Pending,3.8,Road,Route B,458.5,
haircare,SKU26,97.45,9,353,"3,716.49",Male,59,16,48,4,Carrier B,7,Supplier 2,Bangalore,26,171,4,16,Pass,2.1,Rail,Route A,617.9,
cosmetics,SKU27,92.56,42,352,"2,686.46",Unknown,47,9,62,8,Carrier C,7,Supplier 5,Mumbai,25,291,4,11,Fail,2.9,Sea,Route B,762.5,
cosmetics,SKU28,2.40,12,394,"6,117.32",Female,48,15,24,4,Carrier B,10,Supplier 1,Mumbai,13,171,7,59,Fail,0.8,Air,Route A,123.4,
cosmetics,SKU29,63.45,3,253,"8,318.90",Female,45,5,67,7,Carrier B,8,Supplier 1,Kolkata,16,329,7,39,Pass,3.9,Road,Route B,764.9,
haircare,SKU30,8.02,10,327,"2,766.34",Male,60,26,35,7,Carrier B,9,Supplier 4,Kolkata,27,806,30,52,Pending,1.0,Road,Route C,880.1,
skincare,SKU31,50.85,28,168,"9,655.14",Male,6,17,44,4,Carrier B,3,Supplier 3,Chennai,24,461,8,60,Pending,3.0,Rail,Route C,609.4,
skincare,SKU32,79.21,43,781,"9,571.55",Unknown,89,13,64,4,Carrier C,7,Supplier 3,Kolkata,30,737,7,30,Pass,1.9,Road,Route A,761.2,
cosmetics,SKU33,64.80,63,616,"5,150.00",Non-binary,4,17,95,9,Carrier C,5,Supplier 5,Chennai,1,251,23,24,Fail,3.5,Sea,Route A,371.3,
skincare,SKU34,37.47,96,602,"9,061.71",Unknown,1,26,21,7,Carrier A,1,Supplier 1,Chennai,4,452,10,11,Pass,0.6,Road,Route B,510.4,
cosmetics,SKU35,84.96,11,449,"6,541.33",Female,42,27,85,8,Carrier C,5,Supplier 1,Delhi,3,367,2,58,Pass,0.5,Sea,Route C,553.4,
skincare,SKU36,9.81,34,963,"7,573.40",Female,18,23,28,3,Carrier B,2,Supplier 2,Delhi,26,671,19,46,Fail,3.8,Air,Route C,403.8,
skincare,SKU37,23.40,5,963,"2,438.34",Female,25,8,21,9,Carrier A,2,Supplier 3,Kolkata,24,867,15,34,Pending,2.6,Sea,Route A,183.9,
cosmetics,SKU38,52.08,75,705,"9,692.32",Non-binary,69,1,88,5,Carrier B,9,Supplier 5,Mumbai,10,841,12,6,Pending,0.6,Air,Route B,339.7,
skincare,SKU39,19.13,26,176,"1,912.47",Female,78,29,34,3,Carrier A,6,Supplier 2,Kolkata,30,791,6,9,Fail,1.5,Air,Route B,653.7,
skincare,SKU40,80.54,97,933,"5,724.96",Female,90,20,39,8,Carrier C,7,Supplier 1,Kolkata,18,793,1,88,Pending,4.2,Road,Route A,529.8,
skincare,SKU41,99.11,35,556,"5,521.21",Female,64,19,38,8,Carrier B,6,Supplier 4,Chennai,18,892,7,95,Fail,0.0,Sea,Route A,275.5,
skincare,SKU42,46.53,98,155,"1,839.61",Female,22,27,57,4,Carrier C,8,Supplier 5,Bangalore,26,179,7,96,Fail,4.9,Road,Route A,635.7,
haircare,SKU43,11.74,6,598,"5,737.43",Unknown,36,29,85,9,Carrier B,4,Supplier 5,Mumbai,1,206,23,26,Pending,0.4,Air,Route A,716.0,
cosmetics,SKU44,51.36,34,919,"7,152.29",Female,13,19,72,6,Carrier C,8,Supplier 2,Delhi,7,834,18,23,Fail,3.0,Rail,Route A,610.5,
haircare,SKU45,33.78,1,24,"5,267.96",Male,93,7,52,6,Carrier B,5,Supplier 2,Chennai,25,794,25,66,Pass,3.2,Rail,Route A,495.3,
haircare,SKU46,27.08,75,859,"2,556.77",Non-binary,92,29,6,8,Carrier B,4,Supplier 3,Chennai,18,870,23,77,Pending,3.6,Road,Route B,380.4,
skincare,SKU47,95.71,93,910,"7,089.47",Male,4,15,51,9,Carrier B,9,Supplier 1,Kolkata,10,964,20,20,Pending,0.4,Rail,Route A,581.6,
haircare,SKU48,76.04,28,29,"7,397.07",Non-binary,30,16,9,3,Carrier C,7,Supplier 2,Mumbai,9,109,18,23,Fail,1.7,Rail,Route B,768.7,
cosmetics,SKU49,78.90,19,99,"8,001.61",Unknown,97,24,9,6,Carrier C,3,Supplier 5,Delhi,28,177,28,14,Pass,2.8,Rail,Route A,336.9,
cosmetics,SKU50,14.20,91,633,"5,910.89",Female,31,23,82,10,Carrier A,6,Supplier 2,Delhi,20,306,21,45,Fail,4.8,Rail,Route B,496.2,
haircare,SKU51,26.70,61,154,"9,866.47",Male,100,4,52,1,Carrier A,5,Supplier 5,Bangalore,18,673,28,14,Pending,1.8,Road,Route A,695.0,
skincare,SKU52,98.03,1,820,"9,435.76",Male,64,11,11,1,Carrier B,9,Supplier 1,Mumbai,10,727,27,9,Pending,2.1,Air,Route C,602.9,
skincare,SKU53,30.34,93,242,"8,232.33",Male,96,25,54,3,Carrier B,1,Supplier 1,Delhi,1,631,17,83,Pending,1.4,Air,Route B,750.7,
haircare,SKU54,31.15,11,622,"6,088.02",Non-binary,33,22,61,3,Carrier B,4,Supplier 1,Kolkata,26,497,29,30,Pass,2.5,Road,Route B,814.1,
haircare,SKU55,79.86,16,701,"2,925.68",Male,97,11,11,5,Carrier A,5,Supplier 2,Delhi,27,918,5,30,Fail,4.5,Sea,Route B,323.0,
skincare,SKU56,20.99,90,93,"4,767.02",Non-binary,25,23,83,5,Carrier C,2,Supplier 1,Mumbai,24,826,28,13,Pass,1.2,Air,Route B,832.2,
haircare,SKU57,49.26,65,227,"1,605.87",Unknown,5,18,51,1,Carrier B,9,Supplier 2,Delhi,21,588,25,68,Pending,2.5,Rail,Route A,482.2,
skincare,SKU58,59.84,81,896,"2,021.15",Non-binary,10,5,44,7,Carrier A,5,Supplier 3,Delhi,18,396,7,65,Fail,1.7,Road,Route B,110.4,
cosmetics,SKU59,63.83,30,484,"1,061.62",Non-binary,100,16,26,7,Carrier B,7,Supplier 1,Kolkata,11,176,4,2,Fail,0.4,Air,Route A,312.6,
skincare,SKU60,17.03,16,380,"8,864.08",Female,41,27,72,8,Carrier C,4,Supplier 4,Mumbai,29,929,24,87,Fail,2.9,Rail,Route A,430.2,
haircare,SKU61,52.03,23,117,"6,885.59",Unknown,32,23,36,7,Carrier C,9,Supplier 4,Kolkata,14,480,12,79,Fail,4.4,Air,Route A,164.4,
cosmetics,SKU62,72.80,89,270,"3,899.75",Unknown,86,2,40,7,Carrier C,7,Supplier 2,Mumbai,13,751,14,21,Pass,1.9,Sea,Route C,320.8,
skincare,SKU63,13.02,55,246,"4,256.95",Non-binary,54,19,10,4,Carrier A,2,Supplier 3,Bangalore,18,736,10,20,Pending,3.6,Sea,Route A,687.3,
skincare,SKU64,89.63,11,134,"8,458.73",Female,73,27,75,6,Carrier C,5,Supplier 1,Delhi,17,328,6,9,Fail,0.2,Air,Route C,771.2,
skincare,SKU65,33.70,72,457,"8,354.58",Male,57,24,54,8,Carrier C,7,Supplier 5,Kolkata,16,358,21,2,Fail,4.9,Rail,Route C,555.9,
skincare,SKU66,26.03,52,704,"8,367.72",Female,13,17,19,8,Carrier A,2,Supplier 5,Kolkata,24,867,28,42,Fail,3.4,Road,Route A,393.8,
skincare,SKU67,87.76,16,513,"9,473.80",Unknown,12,9,71,9,Carrier C,9,Supplier 1,Mumbai,10,198,11,7,Pass,0.1,Sea,Route C,169.3,
haircare,SKU68,37.93,29,163,"3,550.22",Non-binary,0,8,58,8,Carrier B,1,Supplier 2,Bangalore,2,375,18,97,Fail,2.0,Rail,Route A,299.7,
skincare,SKU69,54.87,62,511,"1,752.38",Non-binary,95,1,27,3,Carrier B,10,Supplier 4,Kolkata,9,862,7,78,Pending,1.4,Air,Route A,207.7,
haircare,SKU70,47.91,90,32,"7,014.89",Female,10,12,22,4,Carrier B,6,Supplier 1,Bangalore,22,775,16,11,Pass,1.8,Road,Route C,183.3,
cosmetics,SKU71,6.38,14,637,"8,180.34",Female,76,2,26,6,Carrier A,9,Supplier 2,Bangalore,2,258,10,31,Pending,2.1,Road,Route A,405.2,
cosmetics,SKU72,90.20,88,478,"2,633.12",Non-binary,57,29,77,9,Carrier A,7,Supplier 1,Bangalore,21,152,11,56,Pending,3.2,Rail,Route B,677.9,
cosmetics,SKU73,83.85,41,375,"7,910.89",Male,17,25,66,5,Carrier B,2,Supplier 4,Chennai,13,444,4,47,Fail,4.6,Road,Route A,866.5,
haircare,SKU74,3.17,64,904,"5,709.95",Female,41,6,1,5,Carrier A,5,Supplier 4,Delhi,1,919,9,81,Fail,0.4,Rail,Route A,341.6,
skincare,SKU75,93.00,29,106,"1,889.07",Non-binary,16,20,56,10,Carrier C,2,Supplier 1,Chennai,25,759,11,48,Pass,2.0,Air,Route C,873.1,
haircare,SKU76,69.11,23,241,"5,328.38",Male,38,1,22,10,Carrier A,7,Supplier 2,Bangalore,25,985,24,64,Pending,2.2,Rail,Route A,997.4,
haircare,SKU77,57.45,14,359,"2,483.76",Unknown,96,28,57,4,Carrier B,7,Supplier 1,Kolkata,26,334,5,43,Pass,3.1,Road,Route B,852.6,
haircare,SKU78,6.31,50,946,"1,292.46",Unknown,5,4,51,5,Carrier B,8,Supplier 5,Mumbai,25,858,21,71,Pending,4.1,Sea,Route C,323.6,
haircare,SKU79,57.06,56,198,"7,888.72",Non-binary,31,25,20,1,Carrier B,6,Supplier 3,Bangalore,5,228,12,58,Pending,0.2,Air,Route C,351.5,
skincare,SKU80,91.13,75,872,"8,651.67",Unknown,39,14,41,2,Carrier C,3,Supplier 3,Chennai,8,202,5,77,Fail,2.8,Sea,Route B,787.8,
haircare,SKU81,72.82,9,774,"4,384.41",Unknown,48,6,8,5,Carrier B,4,Supplier 3,Delhi,28,698,1,20,Pending,2.5,Rail,Route B,276.8,
skincare,SKU82,17.03,13,336,"2,943.38",Unknown,42,19,72,1,Carrier A,5,Supplier 2,Mumbai,6,955,26,4,Pending,4.1,Road,Route C,590.0,
haircare,SKU83,68.91,82,663,"2,411.75",Unknown,65,24,7,8,Carrier B,5,Supplier 1,Bangalore,20,443,5,98,Fail,0.8,Road,Route A,683.0,
haircare,SKU84,89.10,99,618,"2,048.29",Unknown,73,26,80,10,Carrier A,8,Supplier 5,Chennai,24,589,22,34,Pass,4.8,Air,Route B,465.5,
cosmetics,SKU85,76.96,83,25,"8,684.61",Female,15,18,66,2,Carrier C,8,Supplier 5,Chennai,4,211,2,70,Fail,1.4,Road,Route B,842.7,
skincare,SKU86,20.00,18,223,"1,229.59",Unknown,32,14,22,6,Carrier B,1,Supplier 1,Mumbai,4,569,18,75,Pass,2.1,Rail,Route A,264.3,
haircare,SKU87,80.41,24,79,"5,133.85",Male,5,7,55,10,Carrier A,7,Supplier 3,Chennai,27,523,17,29,Fail,3.7,Sea,Route B,879.4,
cosmetics,SKU88,75.27,58,737,"9,444.74",Male,60,18,85,7,Carrier A,4,Supplier 2,Mumbai,21,953,11,68,Pending,0.7,Sea,Route A,103.9,
cosmetics,SKU89,97.76,10,134,"5,924.68",Unknown,90,1,27,8,Carrier B,10,Supplier 1,Kolkata,23,370,11,47,Pending,1.9,Rail,Route B,517.5,
skincare,SKU90,13.88,56,320,"9,592.63",Non-binary,66,18,96,7,Carrier B,8,Supplier 3,Bangalore,8,585,8,86,Pass,1.2,Rail,Route B,990.1,
cosmetics,SKU91,62.11,90,916,"1,935.21",Male,98,22,85,7,Carrier B,7,Supplier 4,Delhi,5,207,28,40,Pending,0.6,Rail,Route B,996.8,
cosmetics,SKU92,47.71,44,276,"2,100.13",Male,90,25,10,8,Carrier B,4,Supplier 2,Mumbai,4,671,29,63,Pass,0.3,Rail,Route B,230.1,
haircare,SKU93,69.29,88,114,"4,531.40",Unknown,63,17,66,1,Carrier C,7,Supplier 4,Chennai,21,824,20,36,Fail,4.2,Air,Route A,823.5,
cosmetics,SKU94,3.04,97,987,"7,888.36",Unknown,77,26,72,9,Carrier B,7,Supplier 2,Delhi,12,908,14,60,Pass,1.5,Rail,Route B,846.7,
haircare,SKU95,77.90,65,672,"7,386.36",Unknown,15,14,26,9,Carrier B,9,Supplier 4,Mumbai,18,450,26,59,Pending,1.2,Air,Route A,778.9,
cosmetics,SKU96,24.42,29,324,"7,698.42",Non-binary,67,2,32,3,Carrier C,5,Supplier 3,Mumbai,28,648,28,18,Pending,3.9,Road,Route A,188.7,
haircare,SKU97,3.53,56,62,"4,370.92",Male,46,19,4,9,Carrier A,8,Supplier 4,Mumbai,10,535,13,66,Fail,3.4,Road,Route A,540.1,
skincare,SKU98,19.75,43,913,"8,525.95",Female,53,1,27,7,Carrier B,1,Supplier 5,Chennai,28,581,9,6,Pending,2.9,Rail,Route A,882.2,
haircare,SKU99,68.52,17,627,"9,185.19",Unknown,55,8,59,6,Carrier B,1,Supplier 2,Chennai,29,921,2,38,Fail,0.3,Rail,Route B,210.7,
,,,,,,,,,,,,,,,,,,,,,,,,
